SongNumber,SongTitle,AlbumName,ArtistLocation,ArtistName,Duration,KeySignature,Popularity,Tempo,TimeSignature,Year,ArtistFamiliarity,ArtistPopularity,1 Star Artist Popularity,2 Star Artist Popularity,3 Star Artist Popularity,4 Star Artist Popularity,5 Star Artist Popularity,rap/hiphop/rnb,rock,folk/celtic,electronic/trance,metal,punk/grunge/ska,pop/chart,jazz/blues,country,soul/reggae/funk,dance
527,The Dance at The Gym,West Side Story - Original Broadway Cast,,The Jets & The Sharks & Leonard Bernstein&The New York Philharmonic Orchestra,185.99138,7,-1,111.506,3,0,0.565482351,0.39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
528,Soon Come (2002 Digital Remaster),Bush Doctor,Westmoreland Jamaica,Peter Tosh,238.23628,11,-1,92.643,4,1978,0.722733963,0.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
529,Goodnight Girl,All I Want,Glasgow Scotland,Wet Wet Wet,257.25342,2,-1,93.156,4,1992,0.642280769,0.41,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
530,Print,This Is You,,Jacob Young,335.93424,5,0,77.635,5,0,0.495445922,0.29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531,Wanna Be A Star,Official Space Tape,,Kool Keith,222.30159,9,0.323112121,181.208,4,1996,0.639614201,0.46,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
532,Evalia,The Bitter End,London England,Placebo,260.75383,6,0.697348812,78.245,4,2003,0.804523521,0.59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
533,Scenario,The Best Of,Queens NY,A Tribe Called Quest,251.14077,2,0.704098839,102.829,4,1991,0.770040695,0.54,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
534,My Party (Kenna Remix),Charmer,Nashville Tennessee,Kings Of Leon,225.27955,11,0.565666582,127.006,4,2007,0.845768866,0.79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
535,The Sun Shines From You,Howdy!,Glasgow Scotland,Teenage Fanclu,204.77342,8,0.672072976,127.811,4,2000,0.684894723,0.51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
536,Ghastly Indoctrination,Seance,,Dark Fortress,459.33669,1,0.709909937,115.37,4,2006,0.633932726,0.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
537,Mama's Boy,The Wild One - The Greatest Hits,Detroit MI,Suzi Quatro,217.46893,4,0.637783286,168.165,1,1979,0.627361447,0.41,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
538,Studio Dialogue (#19),1970: The Complete Fun House Sessions,Ann Arbor MI,The Stooges,43.91138,11,-1,100.353,3,0,0.732603394,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
539,Evil Hearted Ada,Teenage Head,San Francisco CA,Flamin' Groovies,199.96689,4,0.661651391,235.405,4,1971,0.559317502,0.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
540,I Don't Give A F**K,Southern Slang (Chopped & Screwed),,D.O.W.N.,265.66485,1,-1,109.659,4,0,0.741132802,0.54,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
541,Let The Chips Fall,Super Hits,Sledge MS,Charley Pride,163.52608,0,0.558094763,100.893,1,0,0.580798778,0.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
542,In A Dead World (Album Version),Killswitch Engage [Special Edition],Boston MA,Killswitch Engage,254.45832,8,0.604788516,104.939,3,0,0.887867146,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
543,Just A Little Bit Of You,Soulsation! The 25th Anniversary Collection,,Michael Jackson,192.57424,1,-1,110.28,4,1975,0.866519754,0.77,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1
544,Just A Phase,Live in Malaysia 2004,California,Incubus,353.77587,9,0.70969929,107.922,4,2001,0.899279599,0.58,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
545,I'm Gonna Cry Til' My Tears Run Dry,Straight From The Soul,Ponchatoula LA,Irma Thomas,146.88608,5,0.405115722,183.882,3,2004,0.623823768,0.44,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
546,Love & Devotion,Riddim Driven: Wanted,,Sizzla,197.48526,5,0,131.868,5,2003,0.732571745,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
547,Amdokwe,Miyela Africa,,Vusi Mahlasela,250.48771,2,0,120.024,3,0,0.59419662,0.38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
548,Mr. Sellack (Album Version),The Roches,New York City,The Roches,243.51302,2,0,131.84,4,1979,0.573612399,0.37,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
549,Hypnotise The Cat,The Platinum Collection,,Tam Tam Go!,216.63302,6,-1,133.45,4,0,0.515044056,0.32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
550,Pocket Calculator (2009 Digital Remaster),The Mix (2009 Digital Remaster),Dorf Germany,Kraftwerk,272.03873,3,0.596027888,132.026,4,0,0.74151813,0.52,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
551,Harry Flowers,Strange Cargo III,,William Orbit,270.94159,0,-1,146.389,5,1993,0.674970293,0.42,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
552,Mary Had A Little Lamb,Soul To Soul/ Texas Flood/ Couldn't Stand The Weather,Dallas TX,Stevie Ray Vaughan And Double Trouble,166.73914,8,-1,122.546,4,1988,0.78303711,0.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
553,This Ain't Pleasure,Bricks Are Heavy,Los Angeles CA,L7,163.13424,2,0.60146314,85.82,3,1992,0.64444361,0.44,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
554,Stagger Lee,Murder Ballads,Wangaratta Victoria Australia,Nick Cave & The Bad Seeds,315.08853,7,0.47643522,153.768,4,1996,0.681581305,0.48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
555,Two Four One,Double Barrel,Jamaica,Dave And Ansel Collins,151.84934,2,0.262308997,117.157,4,1971,0.529379509,0.34,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
556,Survivalism,Survivalism,Cleveland OH,Nine Inch Nails,256.83546,9,-1,86.624,3,2007,0.905776889,0.6,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
557,AquaCityBoy,Atlantis - Hymns for Disco.,,K-OS,161.51465,10,0.543788273,78.971,4,2006,0.712662163,0.43,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
558,"Lala Song (Matesi DJ ""Silverstatix""remix",Lala Song The Remixes,Kentwood LA; Los Angeles CA,Bob Sinclar,342.69995,4,-1,127.932,3,0,0.947327507,0.61,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
559,Sting Me,The Southern Harmony And Musical Companion,Atlanta GA,The Black Crowes,348.89098,0,-1,97.672,4,1992,0.797420741,0.54,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
560,The Call,Black & Blue,Orlando FL,Backstreet Boys,236.2771,10,-1,103.997,4,2000,0.851417629,0.59,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
561,First Boyfriend,It's My Club And I'll Play What I Want To,Cardiff Wales,Helen Love,156.21179,8,0.212045405,195.026,5,2007,0.581884359,0.35,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
562,The Mission,30 Seconds To Mars,Los Angeles CA,30 Seconds To Mars,245.02812,8,0.793613668,190.102,4,2002,0.909324834,0.68,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
563,Two-Sided Politics,Still Cyco After All These Years,Venice CA,Suicidal Tendencies,61.83138,7,-1,235.337,1,1987,0.736677413,0.53,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
564,On Tha Rox,Tha Triflin' Album,Los Angeles CA,King Tee,109.13914,6,0.425304242,183.437,4,0,0.495738583,0.37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
565,Beautiful,Beautiful,St. Joseph MO,Eminem,397.60934,5,-1,131.955,4,2009,0.871010615,0.8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
566,Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version),The Day After,Chicago IL,Twista,259.36934,0,-1,114.752,4,2005,0.889613555,0.59,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
567,Still Love Remains (Album Version),Human Being,Paddington London England,Seal,354.76853,5,0.507531546,153.731,4,1998,0.567313224,0.58,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
568,Bright Lights_ Big City,Jim Jones / Hustler's P.O.M.E. (Product Of My Environment),New Mexico,Jim Jones / Max ,256.39138,1,-1,106.756,5,0,0.802925395,0.53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
569,Maybe Someday...,Men And Women,Ingiltere,Simply Red,258.08934,0,0.561428518,83.73,4,1987,0.731590592,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
570,Life Is Real,Joyful,United States,Ayo,534.62159,0,-1,122.91,4,2006,0.522590185,0.39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
571,Snow [Hey Oh] [Live Version],Snow [Hey Oh] [Live],,Red Hot Chili Peppers,319.55546,8,-1,106.575,4,0,0.833967972,0.58,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
572,Spoonful,Soul On Ten,Ukiah CA,Robben Ford,367.98649,2,0.375984302,126.42,4,2009,0.604820432,0.38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
573,Moritat (Mack The Knife),Live! At The Desert Inn,New York NY [The Bronx],Bobby Darin,210.38975,1,0,81.895,5,0,0.70441147,0.47,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
574,"Beauty Queen (12"" Spoon Club Mix)",Beauty Queen,Germany,SNAP!,404.37506,11,-1,130.286,4,2005,0.71881021,0.46,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
575,Little Cry For Him (Chorinho Pra Ele) (LP Version),Slaves Mass,Lagoa da Canoa Alagoas,Hermeto Pascoal,131.36934,0,0.215080319,179.161,1,0,0.579273042,0.41,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
576,Just Like Lightnin',Satriani Live,Westbury Long Island NY,Joe Satriani,300.82567,0,0.593795114,197.443,4,2006,0.705876402,0.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
577,Mine Again,The Emancipation of Mimi,Hunington Long Island NY,Mariah Carey,241.65832,3,-1,131.761,4,2005,0.846455128,0.79,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
578,Procession,The City,Volos Greece,Vangelis,573.67465,4,0.588922168,119.712,4,1990,0.772871995,0.47,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
579,Unicorn,Lit'l Song,California,David Lynch,618.23955,3,-1,131.292,4,0,0.56681391,0.46,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
580,(Do)Minion,Everything Remains (As It Never Was),Switzerland,Eluveitie,307.69587,11,0.662986161,110.018,4,2010,0.764566084,0.53,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
581,Interlude: Livin'...In Complete Darkness,Rhythm Nation,Los Angeles &amp; New York,Janet Jackson,67.10812,2,0.489038209,120.45,5,0,0.88169473,0.57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
582,Nightly Cares,Nightly Cares,,Mum,249.05098,1,0.774004274,95.576,4,2004,0.713945881,0.47,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
583,A Girls Oath,Evocation I - The Arcane Dominion,Switzerland,Eluveitie,78.18404,0,0.650676969,111.127,3,0,0.764566084,0.53,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
584,Ku Klux Klan,Rage and Fury,Birmingham England,Steel Pulse,231.49669,6,-1,153.052,4,1978,0.698452539,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
585,Anybody Seen My Girl,Keb' Mo',Los Angeles CA,KeMo,176.5873,7,0.662493161,79.151,4,1994,0.632130913,0.47,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
586,Lively Up Yourself,Keep on Moving,,Bob Marley,173.24363,2,-1,127.765,4,1991,0.778835827,0.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
587,Get On Our Own,French,London / Ex-Manchester,Buzzcocks,144.77016,9,-1,181.421,4,1978,0.700446614,0.53,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
588,Just My Baby,Live at Red Rocks,Chicago IL,Rickie Lee Jones,314.72281,10,-1,147.736,3,1989,0.670615396,0.5,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
589,Shape Of My Heart,Black & Blue,Orlando FL,Backstreet Boys,173.5571,11,-1,86.693,3,2000,0.851417629,0.59,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
590,Love Can Run Faster,Double Fun,Batley England,Robert Palmer,247.95383,11,0.445454525,119.389,4,1978,0.755566398,0.46,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
591,The Blue Side of The Sun,Dark Outside,,Sigmatropic,263.57506,1,0.253834736,128.006,4,2007,0.497083116,0.39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
592,New Detroit,Chandeliers In The Savannah,,Neon Blonde,170.70975,7,0.523175055,139.562,1,2005,0.610349426,0.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
593,da da Diamonds,LAViSH,,Soul Ballet,224.86159,9,0.511424326,106.01,4,2007,0.493125957,0.35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
594,Proud,I KNOW WHAT YOU DID LAST SUMMER THE ALBUM,Bakersfield CA,Korn,197.53751,2,-1,80.375,3,1996,0.829135422,0.53,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
595,Passover,Let The Movie Begin,,Joy Division,128.67873,10,-1,135.066,4,1980,0.764287182,0.58,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
596,Soo Bawlz,Q: Are We Not Men?  A: We Are Devo / Devo Live,Georgia,Devo,141.08689,9,0.509640966,155.26,4,1979,0.707839968,0.53,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
597,Curiosity,Back to Back - Atlantic Starr & The Jets,,The Jets,280.65914,10,-1,122.954,4,0,0.565482351,0.39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
598,Music Of The Sun,Music Of The Sun,St Michael Barbados ,Rihanna,235.98975,0,0.668601101,85.976,4,2005,0.917863906,0.91,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
599,Width Of The World,Helium,,Tin Hat Trio,407.06567,7,-1,144.012,3,2000,0.547801656,0.37,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
600,Street Lights,808s & Heartbreak,Atlanta GA,Kanye West,189.962,1,0.814517241,125.593,3,2008,0.877213746,1.08,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
601,Sex,Girl Bites Dog_ Your Compact Disc Pet,London England,Bow Wow Wow,167.83628,4,-1,137.398,4,0,0.659139477,0.41,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
602,Grow Proper,Lava Ground,,I Wayne,244.32281,6,0.464923994,67.606,5,2005,0.682067848,0.44,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
603,Megalodon,Leviathan,Atlanta GA,Mastodon,262.89587,2,0.693996934,145.997,1,2004,0.780461749,0.57,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
604,Washed Away,Mad Mad World,Lynn Lake Manitoba Canada,Tom Cochrane,320.44363,5,0.531722098,88.072,4,1992,0.590360325,0.37,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
605,American Ghost Dance (2003 Digital Remastered),Freaky Styley,,Red Hot Chili Peppers,231.23546,0,-1,111.541,4,1985,0.833967972,0.58,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
606,Sophisticated Lady,Only Trust Your Heart,Brussels Belgium,Toots Thielemans,302.62812,5,-1,68.326,1,1955,0.641172818,0.44,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
607,I Guess I'm Crazy,RCA  Country Legends,Galloway Panola County TX,Jim Reeves,145.13587,4,-1,91.318,4,1990,0.624252499,0.46,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
608,Asheville Turnaround,It's Just The Night,,The Del McCoury Band,154.74893,0,0.518759898,177.945,4,0,0.608703568,0.36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
609,Call Of Da Wild,Southernplayalisticadillacmuzik,Atlanta GA,OutKast,366.39302,8,0.757471387,177.662,4,1994,0.796420044,0.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
610,Dirty Diana,Michael Jackson: The Ultimate Collection,,Michael Jackson,281.73016,5,-1,131.319,4,1987,0.86652032,0.77,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1
611,I'd Like To Be,Legends,Galloway Panola County TX,Jim Reeves,121.73016,11,-1,151.73,3,1994,0.624252499,0.46,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
612,Weightless (Demo),Weightless,Glasgow Scotland,Wet Wet Wet,222.69342,10,-1,105.95,4,0,0.642280769,0.41,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
613,White Christmas,Camp Holiday,Syracuse NY,Martin Sexton,144.19546,3,0.239629098,90.099,3,2005,0.641197515,0.45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
614,San Juan,Primitive Passions,Chelmsford England,Dave Valentin,262.55628,0,0,125.294,4,0,0.498991673,0.33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
615,Mate Tron,Mate Tron,,Luke Vibert,420.15302,0,0.400039657,125.008,4,2007,0.632718261,0.44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
616,E,The Road To Hell Part 2,Middlesbrough England,Rea_ Chris,366.28853,9,0.467574948,131.948,4,1999,0.643182773,0.5,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
617,Souvenirs,Hey Trouble,Stockholm Sweden,Concretes,204.85179,2,0.48306456,89.676,4,2007,0.693258488,0.48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
618,Carry The Light,Good Wood,California,David Lynch,214.04689,8,-1,166.929,7,0,0.56681391,0.46,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
619,Basking Under a Blacksun Dawning,Morgion,,Morgion,341.68118,10,0.499861286,112.063,3,1997,0.506114299,0.38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
620,Hide Away,King Of The Blues,Gilmer TX,Freddie King,286.82404,9,-1,134.741,4,1960,0.609636698,0.38,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
621,Never Gonna Be The Same,Bebop Moptop,Dundee Scotland,Danny Wilson,167.13098,11,-1,91.256,1,1989,0.559991415,0.36,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
622,Pop Pop,The Black Jason Of Rap,Chicago IL,Twista,163.39546,7,-1,100.016,4,0,0.889613555,0.59,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
623,Cut Here,The Cure - Greatest Hits (Deluxe Sound & Vision) PAL,Crawley England,The Cure,250.85342,2,-1,135.038,4,2001,0.81195304,0.58,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
624,Blues City Shake Down,Plays John Mayall (Live At Klooks Kleek),,John Mayall & The Bluesbreakers,142.15791,4,-1,133.072,1,2010,0.626803106,0.41,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
625,Kill the Poor,Punk of Anagram,,Dead Kennedys,184.94649,2,-1,108.977,1,1980,0.737037558,0.54,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
626,Over The Hill,Mr. Wizard,Oxford MS,R.L. Burnside,257.35791,11,0.386477291,95.56,4,1997,0.701180874,0.47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
627,Future,Bright Like Neon Love,Melbourne Australia,Cut Copy,312.08444,11,0.859349894,119.562,4,2004,0.769944259,0.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
628,Drive,The Squid And The Whale,Boston MA,The Cars,234.50077,6,0.833006243,111.319,1,1984,0.789098032,0.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
629,Can't Stop Lovin' You (Remastered Album Version),The Best Of Both Worlds,Pasadena CA,Van Halen,248.18893,9,0.684482573,117.954,4,0,0.744641246,0.58,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
630,Rock Co.Kane Flow,The Grind Date,Amityville NY,De La Soul / MF Doom,185.23383,10,0.598947039,86.813,4,2004,0.745625188,0.51,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
631,Running On The Rocks,Big Night Music,London England,Shriekback,297.92608,5,0.334706549,157.956,5,1986,0.547938241,0.37,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
632,Function Of The Sun,The Ruby Suns,,The Ruby Suns,70.89587,0,0.509640966,42.525,4,2005,0.639860428,0.45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
633,Dimension,Dane Cook's Tourgasm Soundtrack,Sydney Australia,Wolfmother,260.91057,2,0.776126776,141.769,4,2004,0.79225559,0.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
634,It's Going Down,The Art Of Rebellion,Venice CA,Suicidal Tendencies,269.81832,9,0.520370304,164.925,4,1992,0.736677413,0.53,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
635,Schmerzensschreie,Melancholie2,Germany (Erfurt Thuringia),ColdWorld,344.68526,2,-1,134.832,4,2008,0.537131259,0.47,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
636,Gimme Legs,Well Done Europe,London,The Chap,213.89016,7,0.548005621,120.188,4,2010,0.612657824,0.46,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
637,Can't Happen Here,The Best Of Rainbow,,Rainbow,299.57179,0,0.620610718,155.999,4,1981,0.700635528,0.51,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
638,Trading Places,Dance Workout Classics; Keep Fit With The Hottest Hits & Remixes,Atlanta GA,Usher,286.77179,11,-1,147.979,4,2008,0.856448924,0.85,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
639,The Southern Soldier Boy,Songs Of The Civil War,Cross Lane WV,Kathy Mattea,156.62975,9,0.450992312,96.695,3,1991,0.603383145,0.42,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
640,Widow's Walk,Let The Wind Blow High,,Enter the Haggis,381.54404,7,0.448590499,134.819,4,1999,0.619747147,0.41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
641,Love Of My Life,The Chi-Lites Selected Hits,Chicago IL,The Chi-Lites,260.98893,11,-1,90.101,4,0,0.607260129,0.4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
642,The Traffic Jam,Mind Control,,Stephen Marley / Damian Marley,247.17016,9,0.531580241,165.886,4,2006,0.724813068,0.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
643,Resistance,L'espoir,Vernet les Bains,Cali,156.55138,4,0.503381236,127.792,1,2008,0.616884544,0.34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
644,Irreplaceable (Irreemplazable),Irreemplazable,,Beyonce,230.55628,10,-1,87.992,4,2007,0.889460725,0.61,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
645,Magic,Legally Blonde,Los Angeles CA,Black Eyed Peas / Terry Dexter,275.04281,7,0.508602172,103.652,4,2000,0.845601887,1.01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
646,Imagination,Concept Of Life,Kingston Jamaica,Beenie Man,230.24281,5,0.327736683,159.248,4,2006,0.729212274,0.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
647,Between The Worlds,Futurama,England,Be Bop Deluxe,197.82485,2,-1,142.88,4,1975,0.537160563,0.38,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
648,Veronica Sawyer (Album),Fame_ Fortune_ And Fornication,Orange County CA,Reel Big Fish,205.87057,2,0.567184226,91.463,4,0,0.784143965,0.55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
649,Searching,Voice Of Jamaica,Kingston Jamaica,Buju Banton,256.78322,2,-1,85.988,4,1993,0.710374813,0.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
650,Ring The Alarm,Ring The Alarm (Urban Mixes),,Beyonce,212.16608,9,-1,113.812,1,2006,0.889460726,0.62,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
651,Ouachita Run (Album Version),Territory,Oakland CA,Alvin YoungbloodHart,159.39873,9,0.375984302,195.223,1,1998,0.523653408,0.35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
652,Rainbow '65 (part 2) - Live,Duke Of Earl - The Very Best Of The Vee-Jay Years,Chicago IL,Gene Chandler,163.29098,6,-1,175.028,3,0,0.570016703,0.39,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
653,Led By the Master's Hand,The Promise Land,,The Del McCoury Band,173.97506,7,0,140.9,1,2006,0.608703568,0.36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
654,Midnight,G3 Live:  Rockin' in the Free World,Westbury Long Island NY,Joe Satriani,185.70404,11,-1,83.957,3,1987,0.705876402,0.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
655,Brother,Fire Garden,Carle Place New York,Steve Vai,304.71791,5,0.637311276,227.161,4,1996,0.645720023,0.54,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
656,Civilized Reggae,Harder Than The Best,NY - Long Island,Burning Spear,355.18649,11,0.425124658,125.245,4,1980,0.6742378,0.47,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
657,What Is A Woman For? (BBC In Concert),BBC In Concert (25th February 1971),,The Edgar Broughton Band,588.85179,5,-1,59.678,1,0,0.524008172,0.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
658,Let me fly,Windows Of Heaven,San Francisco CA,Jefferson Starship,329.50812,2,0.270775999,132.611,4,1999,0.62812134,0.42,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
659,Now I Got A Woman,IN THE PALACE OF THE KING,,John Mayall,264.6722,10,0.363488499,147.128,4,2007,0.626803106,0.41,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
660,Nothing's The Same,Still Got The Blues/After Hours/Blues Alive,Belfast Northern Ireland,Gary Moore,304.95302,9,0.535953802,86.321,4,1992,0.761362238,0.47,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
661,Sloppy Love Jingle_ Pt. 3 (Amended Album Version),As Cruel As School Children,Geneva NY,Gym Class Heroes,134.922,7,0,80.473,3,2006,0.906619152,0.56,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
662,Patricia,Devil's Night Out,Boston MA,Mighty Mighty Bosstones,168.85506,1,0.513517029,197.213,1,1989,0.699262056,0.48,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
663,We're Almost There,The Real Thing: The Jackson 5,,Michael Jackson,222.37995,11,-1,187.427,7,1975,0.86652032,0.77,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1
664,B-Boy Stance,B-Boy Stance,,K-OS,238.23628,7,0.631390365,97.98,4,2004,0.712662163,0.43,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
