"SongNumber","Songtitle","","","AlbumName","","","ArtistLocation","","ArtistName","","","","Danceability","Duration","KeySignature","KeySignatureConfidence","Popularity","Tempo","TimeSignature","TimeSignatureConfidence","Year","ArtistFamiliarity","ArtistPopularity","Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7","Genre 8","Genre 9","Genre 10","Genre 11","Genre 12","Genre 13","Genre 14","Genre 15","Genre 16","Genre 17","Genre 18","Genre 19","Genre 20","Genre 21","Genre 22"
"770","b'Before The Æons Came'","Before The Æons Came'","Before The Æons Came","b'Demigod'","Demigod'","Demigod","POLAND'","POLAND","Behemoth'","Behemoth'","Behemoth'","Behemoth","0","178.33751","1","0.695","0.651392592","85.11199999999999","1","0","2004","0.84219335","0.5504228249999999","black metal ","death metal ","polish ","blackened death metal ","metal","","","","","","","","","","","","","","","","",""
"771","b'Fernando'","Fernando'","Fernando","b'20 Exitos Instrumentales De Oro Vol. 2'","20 Exitos Instrumentales De Oro Vol. 2'","20 Exitos Instrumentales De Oro Vol. 2","","","Andre Popp'","Andre Popp'","Andre Popp'","Andre Popp","0","220.94322","5","0.778","nan","103.77","1","0","0","0.420364463","0.336219533","","","","","","","","","","","","","","","","","","","","","",""
"772","b'Machine Gun Majesty [Live (Album Version)'","Machine Gun Majesty [Live (Album Version)'","Machine Gun Majesty [Live (Album Version)","b'The chainheart machine'","The chainheart machine'","The chainheart machine","Helsingborg Sweden'","Helsingborg Sweden","Soilwork'","Soilwork'","Soilwork'","Soilwork","0","323.21261","7","0.225","0","93.235","1","0","2000","0.785120149","0.562881125","metal ","melodic death metal","","","","","","","","","","","","","","","","","","","",""
"773","b'Sentimentos Desiguais'","Sentimentos Desiguais'","Sentimentos Desiguais","b'Destinos'","Destinos'","Destinos","","","Candido'","Candido'","Candido'","Candido","0","232.88118","6","0.472","nan","167.951","4","0.574","0","0.544066315","0.351932182","","","","","","","","","","","","","","","","","","","","","",""
"774","b'Rastafari Prophecy'","Rastafari Prophecy'","Rastafari Prophecy","bLivin' It Up + Dub: Limited edition""""","Livin' It Up + Dub: Limited edition""""","Livin' It Up + Dub: Limited edition","Kingston Jamaica'","Kingston Jamaica","Horace Andy'","Horace Andy'","Horace Andy'","Horace Andy","0","284.47302","6","0.614","0.270775999","174.282","1","0.196","0","0.626436382","0.374271174","classic pop and rock","","","","","","","","","","","","","","","","","","","","",""
"775","b'Adeste fideles'","Adeste fideles'","Adeste fideles","b'Christmas With Ramon Vargas'","Christmas With Ramon Vargas'","Christmas With Ramon Vargas","","","Ramon Vargas_ Sangerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer'","Ramon Vargas_ Sangerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer'","Ramon Vargas_ Sangerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer'","Ramon Vargas_ Sangerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer","0","207.04608","0","0.705","nan","69.538","1","0","0","0.391741394","0.291264812","","","","","","","","","","","","","","","","","","","","","",""
"776","b'Killing'","Killing'","Killing","b'Echoes'","Echoes'","Echoes","","","The Rapture'","The Rapture'","The Rapture'","The Rapture","0","218.22649","10","0.061","0.62646424","120.006","4","1","2003","0.749860753","0.51653518","rock and indie","","","","","","","","","","","","","","","","","","","","",""
"777","b'Half The Fun'","Half The Fun'","Half The Fun","b'Final Straw'","Final Straw'","Final Straw","Dundee Scotland'","Dundee Scotland","Snow Patrol'","Snow Patrol'","Snow Patrol'","Snow Patrol","0","174.602","11","0.668","0.7022897769999999","142.01","4","0.724","2004","0.818319359","0.667294596","northern irish ","uk ","scottish ","british ","pop and chart","","","","","","","","","","","","","","","","",""
"778","b'Empty Arms'","Empty Arms'","Empty Arms","b'Martin Scorsese Presents The Blues: Stevie Ray Vaughan'","Martin Scorsese Presents The Blues: Stevie Ray Vaughan'","Martin Scorsese Presents The Blues: Stevie Ray Vaughan","Dallas TX'","Dallas TX","Stevie Ray Vaughan And Double Trouble'","Stevie Ray Vaughan And Double Trouble'","Stevie Ray Vaughan And Double Trouble'","Stevie Ray Vaughan And Double Trouble","0","184.2673","6","0.205","0.693478471","98.623","1","0","1996","0.73379894","0.544257506","jazz and blues","","","","","","","","","","","","","","","","","","","","",""
"779","b'Neon Rainbow'","Neon Rainbow'","Neon Rainbow","b'The Letter/Neon Rainbow'","The Letter/Neon Rainbow'","The Letter/Neon Rainbow","Memphis TN'","Memphis TN","The Box Tops'","The Box Tops'","The Box Tops'","The Box Tops","0","177.3971","0","0.552","nan","117.381","4","0","1967","0.6306300379999999","0.417499645","classic pop and rock","","","","","","","","","","","","","","","","","","","","",""
"780","b'Blues'","Blues'","Blues","b'Essential_ The Very Best Of...'","Essential_ The Very Best Of...'","Essential_ The Very Best Of...","Chicago'","Chicago","Terry Callier'","Terry Callier'","Terry Callier'","Terry Callier","0","180.50567","7","0.695","0.360370583","109.018","3","1","2001","0.706827671","0.416173065","classic pop and rock","","","","","","","","","","","","","","","","","","","","",""
"781","b'XI GUAN LIANG GE REN'","XI GUAN LIANG GE REN'","XI GUAN LIANG GE REN","b'My Secret Lover_ Jerry Yan'","My Secret Lover_ Jerry Yan'","My Secret Lover_ Jerry Yan","","","Jerry Yan'","Jerry Yan'","Jerry Yan'","Jerry Yan","0","252.18567","11","0.571","nan","117.892","4","1","0","0.396327109","0.327012793","taiwanese ","chinese","","","","","","","","","","","","","","","","","","","",""
"782","b'Crimson And Clover'","Crimson And Clover'","Crimson And Clover","b'The Boat That Rocked'","The Boat That Rocked'","The Boat That Rocked","Dayton OH'","Dayton OH","Tommy James & The Shondells'","Tommy James & The Shondells'","Tommy James & The Shondells'","Tommy James & The Shondells","0","324.70159","11","1","0.697241445","167.841","4","0","1969","0.620392056","0.390660523","","","","","","","","","","","","","","","","","","","","","",""
"783","b'Barrage'","Barrage'","Barrage","b'Moods'","Moods'","Moods","Texas'","Texas","Charles Williams'","Charles Williams'","Charles Williams'","Charles Williams","0","87.87546","0","0.671","0","74.666","1","0","0","0.389802967","0.287731468","production music","","","","","","","","","","","","","","","","","","","","",""
"784","b'San Xuan'","San Xuan'","San Xuan","b'Etnico Ma Non Troppo'","Etnico Ma Non Troppo'","Etnico Ma Non Troppo","","","Hevia'","Hevia'","Hevia'","Hevia","0","261.32853","0","0.649","0.424090811","125.02","4","0.962","2003","0.619530991","0.354369616","","","","","","","","","","","","","","","","","","","","","",""
"785","b'A Hard Road'","A Hard Road'","A Hard Road","b'PADLOCK ON THE BLUES'","PADLOCK ON THE BLUES'","PADLOCK ON THE BLUES","","","John And The Bluesbreakers Mayall'","John And The Bluesbreakers Mayall'","John And The Bluesbreakers Mayall'","John And The Bluesbreakers Mayall","0","304.8224","7","0.141","0.531722098","94.304","3","1","1967","0.626803106","0.405234691","rock ","blues rock ","british ","english ","classic pop and rock ","blues","","","","","","","","","","","","","","","",""
"786","b'Oh Oh Oh Baby'","Oh Oh Oh Baby'","Oh Oh Oh Baby","b'Flame In My Heart'","Flame In My Heart'","Flame In My Heart","","","Checkers'","Checkers'","Checkers'","Checkers","0","135.70567","1","0.744","nan","135.048","4","0.782","0","0.45412284","0.330300584","","","","","","","","","","","","","","","","","","","","","",""
"787","b'Mele Wich Ayee (Shaan Remix)'","Mele Wich Ayee (Shaan Remix)'","Mele Wich Ayee (Shaan Remix)","b'Wham Bam!! Bhangra Remixes'","Wham Bam!! Bhangra Remixes'","Wham Bam!! Bhangra Remixes","","","Bally Sagoo'","Bally Sagoo'","Bally Sagoo'","Bally Sagoo","0","373.39383","6","0.527","0","111.901","4","0.854","0","0.58097151","0.34873593","uk ","asian ","british asian ","british ","english","","","","","","","","","","","","","","","","",""
"788","b'Faithful and True (Collectors Version)'","Faithful and True (Collectors Version)'","Faithful and True (Collectors Version)","b'The Brand New Z.Z. Hill'","The Brand New Z.Z. Hill'","The Brand New Z.Z. Hill","Naples TX'","Naples TX","Z.Z. Hill'","Z.Z. Hill'","Z.Z. Hill'","Z.Z. Hill","0","333.322","10","0.385","0.233762706","73.545","3","0.342","1971","0.49030398","0.334415271","","","","","","","","","","","","","","","","","","","","","",""
"789","b'Pass Through My Will'","Pass Through My Will'","Pass Through My Will","b'Master Collection_ Vol. 1'","Master Collection_ Vol. 1'","Master Collection_ Vol. 1","Oklahoma City OK'","Oklahoma City OK","John Michael Talbot'","John Michael Talbot'","John Michael Talbot'","John Michael Talbot","0","113.78893","5","0.12","nan","96.709","3","0.417","1989","0.558245309","0.439488099","","","","","","","","","","","","","","","","","","","","","",""
"790","b'Sacrifice for the Slaughtergod'","Sacrifice for the Slaughtergod'","Sacrifice for the Slaughtergod","b'Beyond the Permafrost'","Beyond the Permafrost'","Beyond the Permafrost","","","Skeletonwitch'","Skeletonwitch'","Skeletonwitch'","Skeletonwitch","0","173.37424","9","0.468","0.580900874","201.333","4","0","2007","0.6895596899999999","0.529039572","black metal ","death metal ","thrash metal","","","","","","","","","","","","","","","","","","",""
"791","b'La boite a hein biloute'","La boite a hein biloute'","La boite a hein biloute","bSonneries ch'ti By Blingtones""""","Sonneries ch'ti By Blingtones""""","Sonneries ch'ti By Blingtones","","","Blingtones'","Blingtones'","Blingtones'","Blingtones","0","9.664849999999999","4","0","nan","67.04600000000001","1","0","0","0.021492905","0","","","","","","","","","","","","","","","","","","","","","",""
"792","b'I Worship You'","I Worship You'","I Worship You","b'Break Through'","Break Through'","Break Through","","","True Believers'","True Believers'","True Believers'","True Believers","0","281.88689","4","0.625","0.260784128","92.881","4","0.9409999999999999","0","0.494073815","0.328073305","alternative rock ","columbus ","usa ","ohio","","","","","","","","","","","","","","","","","",""
"793","b'Lunes Por La Madrugada'","Lunes Por La Madrugada'","Lunes Por La Madrugada","b'El Album'","El Album'","El Album","","","Los Abuelos De La Nada'","Los Abuelos De La Nada'","Los Abuelos De La Nada'","Los Abuelos De La Nada","0","194.01098","2","0.529","nan","139.685","4","0","1984","0.525740269","0.389119622","","","","","","","","","","","","","","","","","","","","","",""
"794","b'Full Of Voices'","Full Of Voices'","Full Of Voices","b'Live Radio Sessions'","Live Radio Sessions'","Live Radio Sessions","","","Maximilian Hecker'","Maximilian Hecker'","Maximilian Hecker'","Maximilian Hecker","0","205.7922","8","0.506","nan","129.488","5","0.737","2005","0.621121051","0.43568407","","","","","","","","","","","","","","","","","","","","","",""
"795","b'More Where That Came From - Original'","More Where That Came From - Original'","More Where That Came From - Original","b'Leroy Hutson Selected Hits Vol. 2'","Leroy Hutson Selected Hits Vol. 2'","Leroy Hutson Selected Hits Vol. 2","Newark NJ'","Newark NJ","Leroy Hutson'","Leroy Hutson'","Leroy Hutson'","Leroy Hutson","0","323.99628","7","0.702","nan","183.935","4","0.468","0","0.530355668","0.397179043","","","","","","","","","","","","","","","","","","","","","",""
"796","b'Fool For Your Loving'","Fool For Your Loving'","Fool For Your Loving","bWhitesnake's Greatest Hits""""","Whitesnake's Greatest Hits""""","Whitesnake's Greatest Hits","London England'","London England","Whitesnake'","Whitesnake'","Whitesnake'","Whitesnake","0","250.3571","7","0.342","0.85259138","125.783","4","0.387","1980","0.822432829","0.5313033190000001","british ","heavy metal ","hard rock ","blues rock ","blues ","deep purple family ","uk ","english ","rock ","glam metal ","metal ","70s ","classic pop and rock ","hairmetal ","80s ","glam rock","","","","","",""
"797","b'If I Run'","If I Run'","If I Run","b'20th Century Masters: The Millennium Collection: Best Of Semisonic'","20th Century Masters: The Millennium Collection: Best Of Semisonic'","20th Century Masters: The Millennium Collection: Best Of Semisonic","Minneapolis MN'","Minneapolis MN","Semisonic'","Semisonic'","Semisonic'","Semisonic","0","258.92526","4","0.736","0.577469082","186.012","4","0.777","1993","0.7127449","0.47070039","pop and chart","","","","","","","","","","","","","","","","","","","","",""
"798","b'Maybe I'm Crazy (Single original version_ 2008 Digital Remaster)""","Maybe I'm Crazy (Single original version_ 2008 Digital Remaster)""","Maybe I'm Crazy (Single original version_ 2008 Digital Remaster)","b'Good Vibes - The Very Best of Laid Back'","Good Vibes - The Very Best of Laid Back'","Good Vibes - The Very Best of Laid Back","Denmark'","Denmark","Laid Back'","Laid Back'","Laid Back'","Laid Back","0","196.72771","10","0.584","0.239629098","124.534","4","0.902","0","0.597963087","0.423323424","","","","","","","","","","","","","","","","","","","","","",""
"799","b'Heart Of The City (Soul and R&B)'","Heart Of The City (Soul and R&B)'","Heart Of The City (Soul and R&B)","b'Something To Talk About'","Something To Talk About'","Something To Talk About","Indianola MS'","Indianola MS","Willie Clayton'","Willie Clayton'","Willie Clayton'","Willie Clayton","0","238.39302","7","0.55","0.256188754","85.973","4","0.421","0","0.467054185","0.374557926","","","","","","","","","","","","","","","","","","","","","",""
"800","b'Guardian Angel'","Guardian Angel'","Guardian Angel","b'Supernova'","Supernova'","Supernova","Berlin Germany'","Berlin Germany","Novaspace'","Novaspace'","Novaspace'","Novaspace","0","231.54893","2","0.783","0.266955186","185.97","4","0.032","2002","0.688040857","0.372307463","german","","","","","","","","","","","","","","","","","","","","",""
"801","b'Melodioso'","Melodioso'","Melodioso","b'Mosaic'","Mosaic'","Mosaic","","","Tom Barabas'","Tom Barabas'","Tom Barabas'","Tom Barabas","0","249.20771","4","0.515","nan","121.001","3","0.6919999999999999","0","0.448025346","0.36324601","","","","","","","","","","","","","","","","","","","","","",""
"802","b'Hel Vete'","Hel Vete'","Hel Vete","b'Nattfodd'","Nattfodd'","Nattfodd","","","Finntroll'","Finntroll'","Finntroll'","Finntroll","0","255.00689","4","0.51","0.656941717","149.948","4","0","2004","0.636436672","0.429097812","finnish ","humppa metal ","swedish lyrics ","finland ","troll metal ","folk metal ","swedish","","","","","","","","","","","","","","",""
"803","b'Escuchame'","Escuchame'","Escuchame","b'La Historia'","La Historia'","La Historia","","","Carlos Ponce'","Carlos Ponce'","Carlos Ponce'","Carlos Ponce","0","195.5522","0","0.666","nan","196.137","4","0.197","2003","0.603550952","0.303618163","","","","","","","","","","","","","","","","","","","","","",""
"804","b'Sending A Message'","Sending A Message'","Sending A Message","b'Traveler'","Traveler'","Traveler","Regina Saskatchewan Canada'","Regina Saskatchewan Canada","Colin James'","Colin James'","Colin James'","Colin James","0","233.7171","1","0.519","0.239629098","149.317","4","0.862","2003","0.523962423","0.440867557","","","","","","","","","","","","","","","","","","","","","",""
"805","b'Auf Der Mundharmonika'","Auf Der Mundharmonika'","Auf Der Mundharmonika","b'The Essential Marlene Dietrich'","The Essential Marlene Dietrich'","The Essential Marlene Dietrich","Scherg Germany'","Scherg Germany","Marlene Dietrich'","Marlene Dietrich'","Marlene Dietrich'","Marlene Dietrich","0","159.34649","7","0.533","0.413752422","42.654","4","0","1992","0.616896386","0.416503946","german","","","","","","","","","","","","","","","","","","","","",""
"806","b'Girls Girls'","Girls Girls'","Girls Girls","b'Burnin up'","Burnin up'","Burnin up","","","Pinchers & Ganglords'","Pinchers & Ganglords'","Pinchers & Ganglords'","Pinchers & Ganglords","0","235.17995","4","0.203","nan","159.798","4","0.544","0","0.558384455","0.340632714","punk ","belgium","","","","","","","","","","","","","","","","","","","",""
"807","b'Something's Missing""","Something's Missing""","Something's Missing","b'Any Given Thursday'","Any Given Thursday'","Any Given Thursday","Calcutta India'","Calcutta India","John Mayer'","John Mayer'","John Mayer'","John Mayer","0","407.45751","1","0.398","nan","153.055","4","0.315","0","0.837947909","0.788137758","","","","","","","","","","","","","","","","","","","","","",""
"808","b'Dornroschen war ein schones Kind - Karaoke'","Dornroschen war ein schones Kind - Karaoke'","Dornroschen war ein schones Kind - Karaoke","b'Kinderlieder Vol.2'","Kinderlieder Vol.2'","Kinderlieder Vol.2","","","Frederik'","Frederik'","Frederik'","Frederik","0","164.15302","0","0.031","nan","95.991","4","0.156","0","0.477946575","0.348215008","","","","","","","","","","","","","","","","","","","","","",""
"809","b'Wiggle (Soul and R&B)'","Wiggle (Soul and R&B)'","Wiggle (Soul and R&B)","b'The Little Giant Of Soul'","The Little Giant Of Soul'","The Little Giant Of Soul","Indianola MS'","Indianola MS","Willie Clayton'","Willie Clayton'","Willie Clayton'","Willie Clayton","0","287.08526","7","0.495","0.307824308","115.938","5","1","0","0.467054185","0.374557926","","","","","","","","","","","","","","","","","","","","","",""
"810","b'Maloba pamba'","Maloba pamba'","Maloba pamba","b'Nouvel ordre'","Nouvel ordre'","Nouvel ordre","","","Emeneya'","Emeneya'","Emeneya'","Emeneya","0","552.35873","0","0.803","nan","122.799","4","0.57","0","0.214081713","0","","","","","","","","","","","","","","","","","","","","","",""
"811","b'Weight Of The World (Album Version)'","Weight Of The World (Album Version)'","Weight Of The World (Album Version)","b'You Are Here'","You Are Here'","You Are Here","","","Dropline'","Dropline'","Dropline'","Dropline","0","226.40281","2","0.487","nan","79.67700000000001","4","0.506","0","0.407528766","0.292379424","","","","","","","","","","","","","","","","","","","","","",""
"812","b'Judge Boushay Blues'","Judge Boushay Blues'","Judge Boushay Blues","b'Furry Lewis'","Furry Lewis'","Furry Lewis","Greenwood MS'","Greenwood MS","Furry Lewis'","Furry Lewis'","Furry Lewis'","Furry Lewis","0","221.962","2","0.922","0.460484845","104.469","3","0.913","1972","0.572500601","0.368054039","","","","","","","","","","","","","","","","","","","","","",""
"813","b'My Heart Went That-A-Way'","My Heart Went That-A-Way'","My Heart Went That-A-Way","b'Classic Country Vol 1'","Classic Country Vol 1'","Classic Country Vol 1","Redding CA'","Redding CA","Roy Rogers'","Roy Rogers'","Roy Rogers'","Roy Rogers","0","182.67383","7","0.286","0","185.246","5","0.732","0","0.510367932","0.405080353","","","","","","","","","","","","","","","","","","","","","",""
"814","b'The Epi-Pen'","The Epi-Pen'","The Epi-Pen","b'Firewall'","Firewall'","Firewall","","","Alexandre Desplat'","Alexandre Desplat'","Alexandre Desplat'","Alexandre Desplat","0","239.38567","2","0.851","nan","39.451","1","0","2006","0.609816403","0.560380805","easy listening soundtracks and musicals","","","","","","","","","","","","","","","","","","","","",""
"815","b'Baat Ban Jaye'","Baat Ban Jaye'","Baat Ban Jaye","b'Qurbani'","Qurbani'","Qurbani","","","Biddu'","Biddu'","Biddu'","Biddu","0","195.39546","2","0.823","0","108.751","4","1","0","0.370667208","0.297258384","","","","","","","","","","","","","","","","","","","","","",""
"816","b'People of cloud nine'","People of cloud nine'","People of cloud nine","b'You Are Here'","You Are Here'","You Are Here","Belgium'","Belgium","Uman'","Uman'","Uman'","Uman","0","344.2673","1","0.371","0.239629098","99.968","4","0.91","0","0.533504314","0.352364098","","","","","","","","","","","","","","","","","","","","","",""
"817","b'Away In A Manger'","Away In A Manger'","Away In A Manger","b'Navidad'","Navidad'","Navidad","","","Lara & Reyes'","Lara & Reyes'","Lara & Reyes'","Lara & Reyes","0","92.70811999999999","7","1","0.235614876","111.727","1","0","2000","0.338956022","0.351561407","","","","","","","","","","","","","","","","","","","","","",""
"818","b'Mas P**' (America'S Mexican)""","Mas P**' (America'S Mexican)""","Mas P**' (America'S Mexican)","bAmerica's Mexican""""","America's Mexican""""","America's Mexican","ORANGE California'","ORANGE California","George Lopez'","George Lopez'","George Lopez'","George Lopez","0","238.99383","6","0.056","nan","120.492","3","0.337","2007","0.668020249","0.516963731","","","","","","","","","","","","","","","","","","","","","",""
"819","b'Shang Zhui Ren'","Shang Zhui Ren'","Shang Zhui Ren","b'Miriam Xin Chang Jin Pai Jin Qu'","Miriam Xin Chang Jin Pai Jin Qu'","Miriam Xin Chang Jin Pai Jin Qu","","","Miriam Yeung'","Miriam Yeung'","Miriam Yeung'","Miriam Yeung","0","276.74077","4","0.351","nan","114.915","7","0.8100000000000001","0","0.492253132","0.256803369","","","","","","","","","","","","","","","","","","","","","",""
"820","b'Loba'","Loba'","Loba","b'Loba'","Loba'","Loba","Barranquilla Colombia'","Barranquilla Colombia","Shakira'","Shakira'","Shakira'","Shakira","0","222.37995","7","0.432","nan","128.217","4","0.784","2009","0.833178561","0.804219797","colombian ","classic pop and rock ","espanol ","colombia ","alternative","","","","","","","","","","","","","","","","",""
"821","b'Pacific Coast Remix'","Pacific Coast Remix'","Pacific Coast Remix","b'Trauma'","Trauma'","Trauma","Compton CA'","Compton CA","DJ Quik'","DJ Quik'","DJ Quik'","DJ Quik","0","260.362","7","0.597","nan","200.079","4","1","0","0.712098902","0.413393911","","","","","","","","","","","","","","","","","","","","","",""
"822","b'Complainin'""","Complainin'""","Complainin'","bAren't Women Wonderful""""","Aren't Women Wonderful""""","Aren't Women Wonderful","Russia'","Russia","Sophie Tucker'","Sophie Tucker'","Sophie Tucker'","Sophie Tucker","0","180.6624","3","0.415","nan","100.868","4","0.22","0","0.451784406","0.36091623","","","","","","","","","","","","","","","","","","","","","",""
"823","b'Big Train'","Big Train'","Big Train","bConway Twitty's Big Train""""","Conway Twitty's Big Train""""","Conway Twitty's Big Train","Friars Point MS'","Friars Point MS","Conway Twitty'","Conway Twitty'","Conway Twitty'","Conway Twitty","0","140.7473","7","0.293","nan","64.14100000000001","1","0.747","2009","0.663231985","0.493711077","","","","","","","","","","","","","","","","","","","","","",""
"824","b'The Prayer - Feat. T.O. & Timberly K. Simmons'","The Prayer - Feat. T.O. & Timberly K. Simmons'","The Prayer - Feat. T.O. & Timberly K. Simmons","b'Undergrounds Series Vol. 1: Dayz Of Our Livez'","Undergrounds Series Vol. 1: Dayz Of Our Livez'","Undergrounds Series Vol. 1: Dayz Of Our Livez","South Carolina'","South Carolina","Agency 1.9.9.4'","Agency 1.9.9.4'","Agency 1.9.9.4'","Agency 1.9.9.4","0","230.37342","11","0.6860000000000001","0.270775999","95.386","3","1","0","0.389902814","0","","","","","","","","","","","","","","","","","","","","","",""
"825","b'Rock the Spot'","Rock the Spot'","Rock the Spot","b'A2G EP'","A2G EP'","A2G EP","Davis CA'","Davis CA","Blackalicious'","Blackalicious'","Blackalicious'","Blackalicious","0","260.33587","1","0.663","0.667410874","100.694","4","1","1999","0.697113663","0.518784102","","","","","","","","","","","","","","","","","","","","","",""
"826","b'You Say Keep It Gangsta'","You Say Keep It Gangsta'","You Say Keep It Gangsta","b'Masquerade'","Masquerade'","Masquerade","Croix-des-Bouquets  Haiti'","Croix-des-Bouquets  Haiti","Wyclef Jean featuring Butch Cassidy and Sharissa'","Wyclef Jean featuring Butch Cassidy and Sharissa'","Wyclef Jean featuring Butch Cassidy and Sharissa'","Wyclef Jean featuring Butch Cassidy and Sharissa","0","238.47138","5","0.668","0.400039657","183.58","1","0.795","2002","0.791465542","0.477889304","hip hop rnb and dance hall","","","","","","","","","","","","","","","","","","","","",""
"827","b'Pop A Cap In Yo' Ass""","Pop A Cap In Yo' Ass""","Pop A Cap In Yo' Ass","b'Outspoken Part 1'","Outspoken Part 1'","Outspoken Part 1","","","Ben Watt feat. Estelle'","Ben Watt feat. Estelle'","Ben Watt feat. Estelle'","Ben Watt feat. Estelle","0","389.19791","9","0.731","0.265861049","125.992","4","1","2005","0.612235271","0.385209427","uk ","british ","english ","dance and electronica","","","","","","","","","","","","","","","","","",""
"828","b'Swing Swang'","Swing Swang'","Swing Swang","b'Icons'","Icons'","Icons","East Orange NJ'","East Orange NJ","Naughty By Nature'","Naughty By Nature'","Naughty By Nature'","Naughty By Nature","0","245.65506","10","0","nan","93.97799999999999","4","1","2002","0.679748141","0.458595403","rock and indie ","hip hop","","","","","","","","","","","","","","","","","","","",""
"829","b'C'est Dimanche""","C'est Dimanche""","C'est Dimanche","b'Le Jeu des Balcons Mal Fermes'","Le Jeu des Balcons Mal Fermes'","Le Jeu des Balcons Mal Fermes","","","Aurelien Merle'","Aurelien Merle'","Aurelien Merle'","Aurelien Merle","0","286.85016","5","0.583","nan","150.032","4","0.538","0","0.431082532","0","","","","","","","","","","","","","","","","","","","","","",""
"830","b'Use Me'","Use Me'","Use Me","b'Deep 2'","Deep 2'","Deep 2","","","Far Too Jones'","Far Too Jones'","Far Too Jones'","Far Too Jones","0","249.02485","9","0.879","0","127.267","1","0.462","1997","0.417170428","0.272729378","","","","","","","","","","","","","","","","","","","","","",""
"831","b'Gib deinem Herzen ein Zeichen (Radio Mix)'","Gib deinem Herzen ein Zeichen (Radio Mix)'","Gib deinem Herzen ein Zeichen (Radio Mix)","b'Gib deinem Herzen ein Zeichen'","Gib deinem Herzen ein Zeichen'","Gib deinem Herzen ein Zeichen","Stockholm'","Stockholm","Jenney'","Jenney'","Jenney'","Jenney","0","205.97506","8","0.659","nan","120.117","4","0.573","0","0.036043617","0","","","","","","","","","","","","","","","","","","","","","",""
"832","b'So. Central Rain (2006 Digital Remaster)'","So. Central Rain (2006 Digital Remaster)'","So. Central Rain (2006 Digital Remaster)","b'And I Feel Fine.....The Best Of The IRS Years 82-87'","And I Feel Fine.....The Best Of The IRS Years 82-87'","And I Feel Fine.....The Best Of The IRS Years 82-87","Athens GA'","Athens GA","R.E.M.'","R.E.M.'","R.E.M.'","R.E.M.","0","195.52608","2","0.467","nan","146.484","1","0","0","0.730669502","0.623835201","alternative rock ","rock ","americain ","usa ","jangle pop ","rock and indie ","pop rock ","georgia ","athens ","american ","college rock","","","","","","","","","","",""
"833","b'El Corcovado (The Wood-Quail)'","El Corcovado (The Wood-Quail)'","El Corcovado (The Wood-Quail)","b'Un Fuego De Sangre Pura:  Los Gaiteros de San Jacinto from Colombia'","Un Fuego De Sangre Pura:  Los Gaiteros de San Jacinto from Colombia'","Un Fuego De Sangre Pura:  Los Gaiteros de San Jacinto from Colombia","","","Los Gaiteros de San Jacinto'","Los Gaiteros de San Jacinto'","Los Gaiteros de San Jacinto'","Los Gaiteros de San Jacinto","0","234.52689","2","0.8120000000000001","0.192264382","171.123","4","0","0","0.36951674","0.315628274","","","","","","","","","","","","","","","","","","","","","",""
"834","b'The Portrait (Live) (Reissue) (Album Version)'","The Portrait (Live) (Reissue) (Album Version)'","The Portrait (Live) (Reissue) (Album Version)","b'In Concert 1987 - Abigail'","In Concert 1987 - Abigail'","In Concert 1987 - Abigail","","","King Diamond'","King Diamond'","King Diamond'","King Diamond","0","286.56281","11","0.07099999999999999","nan","240.761","4","0","0","0.783746918","0.465542672","","","","","","","","","","","","","","","","","","","","","",""
"835","b'Destination Eschaton (Hardfloor Vocal Mix)'","Destination Eschaton (Hardfloor Vocal Mix)'","Destination Eschaton (Hardfloor Vocal Mix)","b'Hystericool: The Best of the Alternate Mixes'","Hystericool: The Best of the Alternate Mixes'","Hystericool: The Best of the Alternate Mixes","Aberdeen Scotland'","Aberdeen Scotland","Shamen'","Shamen'","Shamen'","Shamen","0","443.03628","7","0.717","0","86.56100000000001","5","1","2002","0.605880471","0.393660868","electronic ","british ","rock and indie ","uk ","trance ","house ","techno","","","","","","","","","","","","","","",""
"836","b'In De Dance Again'","In De Dance Again'","In De Dance Again","b'Bust Out'","Bust Out'","Bust Out","","","Mighty Diamonds'","Mighty Diamonds'","Mighty Diamonds'","Mighty Diamonds","0","208.87465","7","0.313","0","162.736","4","0.6830000000000001","0","0.596834826","0.414609585","","","","","","","","","","","","","","","","","","","","","",""
"837","b'Aquel Mundo De Amor'","Aquel Mundo De Amor'","Aquel Mundo De Amor","b'Donde Estas Corazon'","Donde Estas Corazon'","Donde Estas Corazon","","","Pablo Montero'","Pablo Montero'","Pablo Montero'","Pablo Montero","0","163.29098","5","0.755","0","146.654","1","1","0","0.546310424","0.30991934","","","","","","","","","","","","","","","","","","","","","",""
